Date,Close,High,Low,Open,Volume,ts_polarity
2016-01-04,14.894000053405762,15.425333023071289,14.600000381469727,15.381333351135254,102406500,0.0698829521829521
2016-01-05,14.895333290100098,15.12600040435791,14.666666984558105,15.090666770935059,47802000,0.0932702205882353
2016-01-06,14.602666854858398,14.670000076293945,14.398667335510254,14.666666984558105,56686500,0.0587844221105527
2016-01-07,14.376667022705078,14.562666893005371,14.244667053222656,14.279333114624023,53314500,0.1749831111111111
2016-01-08,14.066666603088379,14.696000099182129,14.0513334274292,14.52400016784668,54421500,0.2210052631578947
2016-01-11,13.856666564941406,14.296667098999023,13.533332824707031,14.267333030700684,61371000,0.0898300699300699
2016-01-12,13.998000144958496,14.249333381652832,13.687333106994629,14.106666564941406,46378500,0.1444097345132743
2016-01-13,13.354000091552734,14.176667213439941,13.333333015441895,14.133999824523926,61896000,0.2340014869888475
2016-01-14,13.745332717895508,14.0,12.892000198364258,13.480667114257812,97360500,0.107347794117647
2016-01-15,13.666000366210938,13.671333312988281,13.149999618530273,13.264666557312012,83679000,-0.0203786324786324
2016-01-19,13.64799976348877,14.031332969665527,13.385333061218262,13.913999557495117,60580500,0.118529596412556
2016-01-20,13.24666690826416,13.41866683959961,12.75,13.293333053588867,87579000,0.1758773648648648
2016-01-21,13.33133316040039,13.548666954040527,13.001333236694336,13.436667442321777,47493000,0.1070089622641509
2016-01-22,13.50333309173584,13.699999809265137,13.268667221069336,13.653332710266113,46861500,0.0039187096774193
2016-01-25,13.092000007629395,13.571332931518555,13.058667182922363,13.337332725524902,40480500,0.1660405594405594
2016-01-26,12.904000282287598,13.187999725341797,12.592000007629395,13.113332748413086,74463000,-0.024867803030303
2016-01-27,12.538000106811523,12.883999824523926,12.38466739654541,12.825332641601562,54258000,0.0114603773584905
2016-01-28,12.646666526794434,12.751999855041504,12.160667419433594,12.719332695007324,68892000,0.1574418326693227
2016-01-29,12.74666690826416,12.916000366210938,12.538666725158691,12.66333293914795,42784500,-0.2689102719033233
2016-02-01,13.129332542419434,13.3013334274292,12.183333396911621,12.583999633789062,79464000,0.1382677339901478
2016-02-02,12.185333251953125,12.874667167663574,12.01533317565918,12.82800006866455,86604000,0.0533863874345549
2016-02-03,11.565333366394043,12.262666702270508,11.345333099365234,12.239333152770996,118971000,0.0702231067961165
