date,avg_sentiment
2016-08-06,0.6287368
2016-08-07,0.66863114
2016-08-08,0.65470195
2016-08-09,0.63938105
2016-08-10,0.641764
2016-08-11,0.6154318
2016-08-12,0.61444956
2016-08-13,0.6479383
2016-08-14,0.691834
2016-08-15,0.6483846
2016-08-16,0.5633461
2016-08-17,0.56896204
2016-08-18,0.58396155
2016-08-19,0.6122034
2016-08-20,0.6590609
2016-08-21,0.71570545
2016-08-22,0.6377161
2016-08-23,0.65347135
2016-08-24,0.5768057
2016-08-25,0.6157355
2016-08-26,0.63629735
2016-08-27,0.6333134
2016-08-28,0.6178702
2016-08-29,0.68258435
2016-08-30,0.5599559
2016-08-31,0.57582474
2016-09-01,0.5844839
2016-09-02,0.59756595
2016-09-03,0.66528064
2016-09-04,0.6615842
2016-09-05,0.6143338
2016-09-06,0.64656377
2016-09-07,0.67533135
2016-09-08,0.64552444
2016-09-09,0.68463445
2016-09-10,0.62291694
2016-09-11,0.6647342
2016-09-12,0.62718177
2016-09-13,0.52667814
2016-09-14,0.5583836
2016-09-15,0.52586246
2016-09-16,0.55686736
2016-09-17,0.6078085
2016-09-18,0.6228643
2016-09-19,0.5829912
2016-09-20,0.60938156
2016-09-21,0.70446366
2016-09-22,0.63125527
2016-09-23,0.63008285
2016-09-24,0.66638273
2016-09-25,0.6764641
2016-09-26,0.6417877
2016-09-27,0.6461191
2016-09-28,0.5467892
2016-09-29,0.624352
2016-09-30,0.61283296
2016-10-01,0.63212955
2016-10-02,0.67042285
2016-10-03,0.5786547
2016-10-04,0.6504376
2016-10-05,0.6385034
2016-10-06,0.59908897
2016-10-07,0.6421252
2016-10-08,0.64025956
2016-10-09,0.59376365
2016-10-10,0.54002607
2016-10-11,0.51116574
2016-10-12,0.5347345
2016-10-13,0.5707151
2016-10-14,0.57845265
2016-10-15,0.59406215
2016-10-16,0.6774061
2016-10-17,0.62698066
2016-10-18,0.62626374
2016-10-19,0.68361473
2016-10-20,0.634047
2016-10-21,0.6185743
2016-10-22,0.6783341
2016-10-23,0.70483035
2016-10-24,0.6107051
2016-10-25,0.47089535
2016-10-26,0.51844585
2016-10-27,0.6474864
2016-10-28,0.64221627
2016-10-29,0.6463462
2016-10-30,0.597198
2016-10-31,0.60620207
2016-11-01,0.6126673
2016-11-02,0.62267184
2016-11-03,0.64350414
2016-11-04,0.5651753
2016-11-05,0.66865855
2016-11-06,0.6440609
2016-11-07,0.61703146
2016-11-08,0.63950163
2016-11-09,0.56664217
2016-11-10,0.6146007
2016-11-11,0.69251937
2016-11-12,0.6736871
2016-11-13,0.6921051
2016-11-14,0.6050406
2016-11-15,0.65204
2016-11-16,0.61886775
2016-11-17,0.6571704
2016-11-18,0.6833584
2016-11-19,0.67545277
2016-11-20,0.6712551
2016-11-21,0.6200452
2016-11-22,0.61120105
2016-11-23,0.6467127
2016-11-24,0.7089948
2016-11-25,0.6435822
2016-11-26,0.6897351
2016-11-27,0.6908133
2016-11-28,0.688779
2016-11-29,0.5588945
2016-11-30,0.578502
2016-12-01,0.5950484
2016-12-02,0.638307
2016-12-03,0.6054748
2016-12-04,0.68229043
2016-12-05,0.5729925
2016-12-06,0.51285416
2016-12-07,0.5551216
2016-12-08,0.59323376
2016-12-09,0.64759856
2016-12-10,0.636826
2016-12-11,0.66802824
2016-12-12,0.6703895
2016-12-13,0.61665004
2016-12-14,0.65685594
2016-12-15,0.60943973
2016-12-16,0.62627196
2016-12-17,0.66728586
2016-12-18,0.61885166
