date,avg_sentiment
2016-08-06,0.6877322
2016-08-07,0.7445231
2016-08-08,0.61336464
2016-08-09,0.61851823
2016-08-10,0.6300824
2016-08-11,0.63362074
2016-08-12,0.63266706
2016-08-13,0.7419206
2016-08-14,0.73109055
2016-08-15,0.6147076
2016-08-16,0.6215643
2016-08-17,0.6489834
2016-08-18,0.6345448
2016-08-19,0.6233056
2016-08-20,0.73863614
2016-08-21,0.7541674
2016-08-22,0.690007
2016-08-23,0.62040824
2016-08-24,0.6677356
2016-08-25,0.63478935
2016-08-26,0.6083276
2016-08-27,0.6974154
2016-08-28,0.78792787
2016-08-29,0.6256023
2016-08-30,0.6063025
2016-08-31,0.566075
2016-09-01,0.5491936
2016-09-02,0.5988843
2016-09-03,0.67872745
2016-09-04,0.7360233
2016-09-05,0.6365264
2016-09-06,0.6119415
2016-09-07,0.50768226
2016-09-08,0.6265867
2016-09-09,0.54301465
2016-09-10,0.6855473
2016-09-11,0.63572633
2016-09-12,0.59468025
2016-09-13,0.5889111
2016-09-14,0.60009825
2016-09-15,0.52229273
2016-09-16,0.5823039
2016-09-17,0.6874967
2016-09-18,0.7048559
2016-09-19,0.62641615
2016-09-20,0.6713054
2016-09-21,0.6292985
2016-09-22,0.53732646
2016-09-23,0.5668497
2016-09-24,0.77172023
2016-09-25,0.75427645
2016-09-26,0.6158471
2016-09-27,0.57818145
2016-09-28,0.6289102
2016-09-29,0.62900424
2016-09-30,0.57401735
2016-10-01,0.79372925
2016-10-02,0.31899503
2016-10-03,0.36221686
2016-10-04,0.56336707
2016-10-05,0.5791921
2016-10-06,0.5442637
2016-10-07,0.63251024
2016-10-08,0.6447409
2016-10-09,0.683142
2016-10-10,0.60532284
2016-10-11,0.637908
2016-10-12,0.6564603
2016-10-13,0.5795897
2016-10-14,0.62956965
2016-10-15,0.74678075
2016-10-16,0.6313369
2016-10-17,0.56002235
2016-10-18,0.6307796
2016-10-19,0.60682994
2016-10-20,0.6058641
2016-10-21,0.63422924
2016-10-22,0.77833456
2016-10-23,0.7561867
2016-10-24,0.60956174
2016-10-25,0.66337866
2016-10-26,0.4743339
2016-10-27,0.5465491
2016-10-28,0.6147521
2016-10-29,0.6991504
2016-10-30,0.73408955
2016-10-31,0.6457705
2016-11-01,0.5884099
2016-11-02,0.57929343
2016-11-03,0.6643993
2016-11-04,0.6095497
2016-11-05,0.7194978
2016-11-06,0.7587987
2016-11-07,0.65909714
2016-11-08,0.6293095
2016-11-09,0.59712535
2016-11-10,0.5759466
2016-11-11,0.55459064
2016-11-12,0.73563886
2016-11-13,0.6788179
2016-11-14,0.61877376
2016-11-15,0.5937639
2016-11-16,0.6396254
2016-11-17,0.6156351
2016-11-18,0.6191933
2016-11-19,0.63342786
2016-11-20,0.70387864
2016-11-21,0.67575663
2016-11-22,0.6112246
2016-11-23,0.60104734
2016-11-24,0.7221299
2016-11-25,0.667086
2016-11-26,0.70765644
2016-11-27,0.7044172
2016-11-28,0.52731776
2016-11-29,0.5666789
2016-11-30,0.56943583
2016-12-01,0.5226363
2016-12-02,0.5608088
2016-12-03,0.67743826
2016-12-04,0.73542196
2016-12-05,0.54740936
2016-12-06,0.65540826
2016-12-07,0.53737575
2016-12-08,0.6483951
2016-12-09,0.6018679
2016-12-10,0.67162204
2016-12-11,0.7101922
2016-12-12,0.5920592
2016-12-13,0.5489876
2016-12-14,0.5768387
2016-12-15,0.62397516
2016-12-16,0.6192573
2016-12-17,0.70242274
2016-12-18,0.70967025
2016-12-19,0.5735706
2016-12-20,0.5734819
2016-12-21,0.49598148
2016-12-22,0.5807518
2016-12-23,0.5559521
2016-12-24,0.68258667
2016-12-25,0.6429638
2016-12-26,0.642785
2016-12-27,0.49063337
2016-12-28,0.60326165
2016-12-29,0.5908964
2016-12-30,0.52156395
2016-12-31,0.7211898
2017-01-01,0.71400434
2017-01-02,0.7080028
2017-01-03,0.538774
2017-01-04,0.4691292
2017-01-05,0.54540294
2017-01-06,0.5693122
2017-01-07,0.6944407
2017-01-08,0.62902325
